form_id,lexeme,cell,phon_form
119,opinoi,fut.dur.pot.3act.sgact.3und.sgund.def.nplu,srpinɔⁿtɔmɔ
120,opinoi,fut.dur.pot.3act.sgact.3und.sgund.def.plu,srpinɔⁿtɔmɔ
121,opinoi,fut.dur.pot.3act.sgact.3und.nsgund.nplu,srpinɔⁿtɔmɔ
122,opinoi,fut.dur.pot.3act.sgact.3und.nsgund.plu,srpinɔⁿtɔmɔ
123,opinoi,fut.dur.pot.3act.nsgact.1und.sgund.nplu,brpinɔⁿtɔmɔmɛ
124,opinoi,fut.dur.pot.3act.nsgact.1und.sgund.plu,brpinɔⁿtɔmɔmɛ
125,opinoi,fut.dur.pot.3act.nsgact.1und.nsgund.nplu,ⁿtpinɔⁿtɔmɔmɛ
126,opinoi,fut.dur.pot.3act.nsgact.1und.nsgund.plu,ⁿtpinɔⁿtɔmɔmɛ
127,opinoi,fut.dur.pot.3act.nsgact.2und.sgund.nplu,ⁿtpinɔⁿtɔmɔmɛ
128,opinoi,fut.dur.pot.3act.nsgact.2und.sgund.plu,ⁿtpinɔⁿtɔmɔmɛ
129,opinoi,fut.dur.pot.3act.nsgact.2und.nsgund.nplu,srpinɔⁿtɔmɔmɛ
130,opinoi,fut.dur.pot.3act.nsgact.2und.nsgund.plu,srpinɔⁿtɔmɔmɛ
131,opinoi,fut.dur.pot.3act.nsgact.3und.sgund.fem.nplu,brpinɔⁿtɔmɔmɛ
132,opinoi,fut.dur.pot.3act.nsgact.3und.sgund.fem.plu,brpinɔⁿtɔmɔmɛ
133,opinoi,fut.dur.pot.3act.nsgact.3und.sgund.def.nplu,srpinɔⁿtɔmɔmɛ
134,opinoi,fut.dur.pot.3act.nsgact.3und.sgund.def.plu,srpinɔⁿtɔmɔmɛ
135,opinoi,fut.dur.pot.3act.nsgact.3und.nsgund.nplu,srpinɔⁿtɔmɔmɛ
136,opinoi,fut.dur.pot.3act.nsgact.3und.nsgund.plu,srpinɔⁿtɔmɔmɛ
137,opinoi,fut.dur.imp.1act.sgact.2und.sgund.nplu,knpinɔⁿt
138,opinoi,fut.dur.imp.1act.sgact.2und.sgund.plu,knpinɔⁿt
139,opinoi,fut.dur.imp.1act.sgact.2und.nsgund.nplu,srpinɔⁿt
140,opinoi,fut.dur.imp.1act.sgact.2und.nsgund.plu,srpinɔⁿt
141,opinoi,fut.dur.imp.1act.sgact.3und.sgund.fem.nplu,brpinɔⁿt
142,opinoi,fut.dur.imp.1act.sgact.3und.sgund.fem.plu,brpinɔⁿt
143,opinoi,fut.dur.imp.1act.sgact.3und.sgund.def.nplu,srpinɔⁿt
144,opinoi,fut.dur.imp.1act.sgact.3und.sgund.def.plu,srpinɔⁿt
145,opinoi,fut.dur.imp.1act.sgact.3und.nsgund.nplu,srpinɔⁿt
146,opinoi,fut.dur.imp.1act.sgact.3und.nsgund.plu,srpinɔⁿt
147,opinoi,fut.dur.imp.1act.nsgact.2und.sgund.nplu,knpinɔⁿtɛj
148,opinoi,fut.dur.imp.1act.nsgact.2und.sgund.plu,knpinɔⁿtɛj
149,opinoi,fut.dur.imp.1act.nsgact.2und.nsgund.nplu,srpinɔⁿtɛj
150,opinoi,fut.dur.imp.1act.nsgact.2und.nsgund.plu,srpinɔⁿtɛj
151,opinoi,fut.dur.imp.1act.nsgact.3und.sgund.fem.nplu,brpinɔⁿtɛj
152,opinoi,fut.dur.imp.1act.nsgact.3und.sgund.fem.plu,brpinɔⁿtɛj
153,opinoi,fut.dur.imp.1act.nsgact.3und.sgund.def.nplu,srpinɔⁿtɛj
154,opinoi,fut.dur.imp.1act.nsgact.3und.sgund.def.plu,srpinɔⁿtɛj
155,opinoi,fut.dur.imp.1act.nsgact.3und.nsgund.nplu,srpinɔⁿtɛj
156,opinoi,fut.dur.imp.1act.nsgact.3und.nsgund.plu,srpinɔⁿtɛj
157,opinoi,fut.dur.imp.2act.sgact.1und.sgund.nplu,bpinɔⁿt
158,opinoi,fut.dur.imp.2act.sgact.1und.sgund.plu,bpinɔⁿt
159,opinoi,fut.dur.imp.2act.sgact.1und.nsgund.nplu,knpinɔⁿt
160,opinoi,fut.dur.imp.2act.sgact.1und.nsgund.plu,knpinɔⁿt
161,opinoi,fut.dur.imp.2act.sgact.3und.sgund.fem.nplu,bpinɔⁿt
162,opinoi,fut.dur.imp.2act.sgact.3und.sgund.fem.plu,bpinɔⁿt
163,opinoi,fut.dur.imp.2act.sgact.3und.sgund.def.nplu,spinɔⁿt
164,opinoi,fut.dur.imp.2act.sgact.3und.sgund.def.plu,spinɔⁿt
165,opinoi,fut.dur.imp.2act.sgact.3und.nsgund.nplu,spinɔⁿt
166,opinoi,fut.dur.imp.2act.sgact.3und.nsgund.plu,spinɔⁿt
167,opinoi,fut.dur.imp.2act.nsgact.1und.sgund.nplu,bpinɔⁿtɛj
168,opinoi,fut.dur.imp.2act.nsgact.1und.sgund.plu,bpinɔⁿtɛj
169,opinoi,fut.dur.imp.2act.nsgact.1und.nsgund.nplu,knpinɔⁿtɛj
170,opinoi,fut.dur.imp.2act.nsgact.1und.nsgund.plu,knpinɔⁿtɛj
171,opinoi,fut.dur.imp.2act.nsgact.3und.sgund.fem.nplu,bpinɔⁿtɛj
172,opinoi,fut.dur.imp.2act.nsgact.3und.sgund.fem.plu,bpinɔⁿtɛj
173,opinoi,fut.dur.imp.2act.nsgact.3und.sgund.def.nplu,spinɔⁿtɛj
174,opinoi,fut.dur.imp.2act.nsgact.3und.sgund.def.plu,spinɔⁿtɛj
175,opinoi,fut.dur.imp.2act.nsgact.3und.nsgund.nplu,spinɔⁿtɛj
176,opinoi,fut.dur.imp.2act.nsgact.3und.nsgund.plu,spinɔⁿtɛj
177,opinoi,fut.dur.imp.3act.sgact.1und.sgund.nplu,brpinɔⁿt
178,opinoi,fut.dur.imp.3act.sgact.1und.sgund.plu,brpinɔⁿt
179,opinoi,fut.dur.imp.3act.sgact.1und.nsgund.nplu,knpinɔⁿt
180,opinoi,fut.dur.imp.3act.sgact.1und.nsgund.plu,knpinɔⁿt
181,opinoi,fut.dur.imp.3act.sgact.2und.sgund.nplu,knpinɔⁿt
182,opinoi,fut.dur.imp.3act.sgact.2und.sgund.plu,knpinɔⁿt
183,opinoi,fut.dur.imp.3act.sgact.2und.nsgund.nplu,srpinɔⁿt
184,opinoi,fut.dur.imp.3act.sgact.2und.nsgund.plu,srpinɔⁿt
185,opinoi,fut.dur.imp.3act.sgact.3und.sgund.fem.nplu,brpinɔⁿt
186,opinoi,fut.dur.imp.3act.sgact.3und.sgund.fem.plu,brpinɔⁿt
187,opinoi,fut.dur.imp.3act.sgact.3und.sgund.def.nplu,srpinɔⁿt
188,opinoi,fut.dur.imp.3act.sgact.3und.sgund.def.plu,srpinɔⁿt
189,opinoi,fut.dur.imp.3act.sgact.3und.nsgund.nplu,srpinɔⁿt
190,opinoi,fut.dur.imp.3act.sgact.3und.nsgund.plu,srpinɔⁿt
191,opinoi,fut.dur.imp.3act.nsgact.1und.sgund.nplu,brpinɔⁿtmɛ
192,opinoi,fut.dur.imp.3act.nsgact.1und.sgund.plu,brpinɔⁿtmɛ
193,opinoi,fut.dur.imp.3act.nsgact.1und.nsgund.nplu,knpinɔⁿtmɛ
194,opinoi,fut.dur.imp.3act.nsgact.1und.nsgund.plu,knpinɔⁿtmɛ
195,opinoi,fut.dur.imp.3act.nsgact.2und.sgund.nplu,knpinɔⁿtmɛ
196,opinoi,fut.dur.imp.3act.nsgact.2und.sgund.plu,knpinɔⁿtmɛ
197,opinoi,fut.dur.imp.3act.nsgact.2und.nsgund.nplu,srpinɔⁿtmɛ
198,opinoi,fut.dur.imp.3act.nsgact.2und.nsgund.plu,srpinɔⁿtmɛ
199,opinoi,fut.dur.imp.3act.nsgact.3und.sgund.fem.nplu,brpinɔⁿtmɛ
200,opinoi,fut.dur.imp.3act.nsgact.3und.sgund.fem.plu,brpinɔⁿtmɛ
201,opinoi,fut.dur.imp.3act.nsgact.3und.sgund.def.nplu,srpinɔⁿtmɛ
202,opinoi,fut.dur.imp.3act.nsgact.3und.sgund.def.plu,srpinɔⁿtmɛ
203,opinoi,fut.dur.imp.3act.nsgact.3und.nsgund.nplu,srpinɔⁿtmɛ
204,opinoi,fut.dur.imp.3act.nsgact.3und.nsgund.plu,srpinɔⁿtmɛ
205,opinoi,fut.pfv.irr.1act.sgact.2und.sgund.nplu,ⁿtpinɔ
206,opinoi,fut.pfv.irr.1act.sgact.2und.nsgund.nplu,srpinɔ
207,opinoi,fut.pfv.irr.1act.sgact.3und.sgund.fem.nplu,brpinɔ
208,opinoi,fut.pfv.irr.1act.sgact.3und.sgund.def.nplu,srpinɔ
209,opinoi,fut.pfv.irr.1act.sgact.3und.nsgund.nplu,srpinɔ
210,opinoi,fut.pfv.irr.1act.nsgact.2und.sgund.nplu,ⁿtpinɔɛj
211,opinoi,fut.pfv.irr.1act.nsgact.2und.nsgund.nplu,srpinɔɛj
212,opinoi,fut.pfv.irr.1act.nsgact.3und.sgund.fem.nplu,brpinɔɛj
213,opinoi,fut.pfv.irr.1act.nsgact.3und.sgund.def.nplu,srpinɔɛj
214,opinoi,fut.pfv.irr.1act.nsgact.3und.nsgund.nplu,srpinɔɛj
215,opinoi,fut.pfv.irr.2act.sgact.1und.sgund.nplu,bpinɔ
216,opinoi,fut.pfv.irr.2act.sgact.1und.nsgund.nplu,ⁿtpinɔ
217,opinoi,fut.pfv.irr.2act.sgact.3und.sgund.fem.nplu,bpinɔ
218,opinoi,fut.pfv.irr.2act.sgact.3und.sgund.def.nplu,spinɔ
219,opinoi,fut.pfv.irr.2act.sgact.3und.nsgund.nplu,spinɔ
220,opinoi,fut.pfv.irr.2act.nsgact.1und.sgund.nplu,bpinɔɛj
221,opinoi,fut.pfv.irr.2act.nsgact.1und.nsgund.nplu,ⁿtpinɔɛj
